asset_id,hostname,computer,department,location,status,spec,os,owner,note,last_update,DETAIL
L1-SCADA-PC1,,GX270,BOPP1,Line 1 control room,using,,Windows XP,BOPP1,,,
L1-SCADA-PC2,,GX270,BOPP1,Line 1 control room,using,,Windows XP,BOPP1,,,
L1-TR-AB-NEW,,GX270,BOPP1,Line 2 control room,using,,Windows XP,BOPP1,,,
L2-SCADA-PC3,,GX270,BOPP1,Line 2 control room,using,,Windows XP,BOPP1,,,
L2-SCADA-PC4,,GX270,BOPP1,Line 2 control room,using,,Windows XP,BOPP1,,,
L2-SCADA-PC3S,,GX270,BOPP1,LAB,using,,Windows XP,BOPP1,,,SPARE
L2-SCADA-PC4S,,GX270,BOPP1,LAB,using,,Windows XP,BOPP1,,,SPARE
L2-TR-AB-NEW,,GX270,BOPP1,Line 2 control room,using,,Windows XP,BOPP1,,,
L3-SCADA-PC5,,GX270,BOPP1,Line 3 control room,using,,Windows XP,BOPP1,,,
L3-SCADA-PC6,,GX270,BOPP1,Line 3 control room,using,,Windows XP,BOPP1,,,
L3-SCADA-PC5N,,GX270,BOPP1,Office,using,,Windows XP,BOPP1,,,NEW
L3-SCADA-PC6N,,GX270,BOPP1,Office,using,,Windows XP,BOPP1,,,NEW
L3-TR-AB-NEW,,GX270,BOPP1,Line 3 control room,using,,Windows XP,BOPP1,,,
L4-SCADA-PC7,,GX270,BOPP1,Line 4 control room,using,,Windows XP,BOPP1,,,
L4-SCADA-PC8,,GX270,BOPP1,Line 4 control room,using,,Windows XP,BOPP1,,,
L4-TR-AB-NEW,,GX270,BOPP1,Line 4 control room,using,,Windows XP,BOPP1,,,
Spare-SCADA-001,,GX270,BOPP1,MCC room (shelf),spare,,Windows XP,BOPP1,,11/10/2025,
Spare-SCADA-002,,GX270,BOPP1,MCC room (shelf),spare,,Windows XP,BOPP1,,11/10/2025,
Spare-SCADA-003,,GX270,BOPP1,MCC room (shelf),spare,,Windows XP,BOPP1,,11/10/2025,
Spare-SCADA-004,,GX270,BOPP1,MCC room (shelf),spare,,Windows XP,BOPP1,,11/10/2025,
Spare-SCADA-005,,GX270,BOPP1,MCC room (shelf),spare,,Windows XP,BOPP1,,11/10/2025,
Spare-SCADA-006,,GX270,BOPP1,MCC room (shelf),,,Windows XP,BOPP1,,11/10/2025,
